x	y	0.fitness	0.targets.dist.0.	0.targets.dist.1.	0.targets.dist.2.	5000.fitness	5000.targets.dist.0.	5000.targets.dist.1.	5000.targets.dist.2.	10000.fitness	10000.targets.dist.0.	10000.targets.dist.1.	10000.targets.dist.2.	15000.fitness	15000.targets.dist.0.	15000.targets.dist.1.	15000.targets.dist.2.	20000.fitness	20000.targets.dist.0.	20000.targets.dist.1.	20000.targets.dist.2.	25000.fitness	25000.targets.dist.0.	25000.targets.dist.1.	25000.targets.dist.2.	30000.fitness	30000.targets.dist.0.	30000.targets.dist.1.	30000.targets.dist.2.	40000.fitness	40000.targets.dist.0.	40000.targets.dist.1.	40000.targets.dist.2.	50000.fitness	50000.targets.dist.0.	50000.targets.dist.1.	50000.targets.dist.2.
3	19	8.300e-01	8.300e-01	8.500e-01	8.800e-01	8.200e-01	8.200e-01	8.400e-01	8.800e-01	7.900e-01	7.900e-01	8.700e-01	8.600e-01	7.600e-01	8.100e-01	7.700e-01	7.600e-01	7.400e-01	8.900e-01	8.100e-01	7.400e-01	6.300e-01	8.200e-01	7.700e-01	6.300e-01	5.900e-01	5.900e-01	7.900e-01	7.100e-01	4.800e-01	4.800e-01	8.000e-01	7.800e-01	4.100e-01	4.100e-01	7.700e-01	7.400e-01
3	20	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	8.500e-01	9.200e-01	8.500e-01	9.200e-01	8.300e-01	8.500e-01	8.300e-01	9.300e-01	7.900e-01	8.000e-01	7.900e-01	8.800e-01	7.300e-01	8.200e-01	7.300e-01	8.700e-01	7.300e-01	8.200e-01	7.300e-01	8.700e-01	7.100e-01	8.100e-01	7.100e-01	8.600e-01	6.300e-01	8.700e-01	6.300e-01	7.700e-01	5.200e-01	8.100e-01	5.200e-01	7.600e-01	4.500e-01	7.200e-01	4.500e-01	8.200e-01
4	2	9.000e-01	9.000e-01	9.300e-01	9.100e-01	8.200e-01	8.500e-01	8.200e-01	9.100e-01	7.800e-01	8.100e-01	7.800e-01	8.900e-01	7.700e-01	8.100e-01	7.700e-01	8.800e-01	7.200e-01	8.200e-01	7.200e-01	8.600e-01	6.700e-01	8.700e-01	6.700e-01	8.100e-01	6.100e-01	8.100e-01	6.100e-01	7.800e-01	5.600e-01	8.100e-01	5.600e-01	7.700e-01	4.300e-01	7.700e-01	4.300e-01	8.100e-01
4	3	8.900e-01	9.500e-01	9.200e-01	8.900e-01	8.200e-01	9.100e-01	8.200e-01	8.600e-01	7.900e-01	8.800e-01	7.900e-01	8.300e-01	7.600e-01	9.000e-01	7.600e-01	8.500e-01	6.800e-01	8.700e-01	6.800e-01	8.300e-01	6.500e-01	8.600e-01	6.500e-01	8.100e-01	6.200e-01	8.200e-01	6.200e-01	7.900e-01	5.100e-01	7.100e-01	5.100e-01	7.800e-01	4.100e-01	7.500e-01	4.100e-01	7.600e-01
4	4	8.300e-01	9.000e-01	8.300e-01	8.700e-01	8.000e-01	8.200e-01	8.000e-01	8.400e-01	7.800e-01	7.800e-01	8.300e-01	8.600e-01	7.700e-01	7.700e-01	8.400e-01	8.500e-01	7.600e-01	7.600e-01	8.400e-01	8.500e-01	6.700e-01	6.700e-01	7.700e-01	8.300e-01	6.400e-01	7.400e-01	6.400e-01	8.100e-01	5.200e-01	7.600e-01	5.200e-01	7.100e-01	3.700e-01	7.500e-01	3.700e-01	7.400e-01
4	5	8.400e-01	8.800e-01	8.900e-01	8.400e-01	7.600e-01	8.200e-01	7.600e-01	8.200e-01	7.600e-01	8.200e-01	7.600e-01	8.200e-01	7.400e-01	8.300e-01	7.400e-01	8.100e-01	7.000e-01	8.100e-01	7.000e-01	8.200e-01	5.700e-01	8.100e-01	5.700e-01	7.900e-01	5.500e-01	7.900e-01	5.500e-01	8.100e-01	4.800e-01	7.900e-01	4.800e-01	7.700e-01	3.800e-01	7.200e-01	3.800e-01	7.400e-01
4	6	8.900e-01	8.900e-01	9.200e-01	9.100e-01	8.000e-01	8.000e-01	8.500e-01	9.000e-01	7.800e-01	8.200e-01	7.800e-01	8.600e-01	7.500e-01	8.700e-01	7.500e-01	8.300e-01	5.900e-01	8.100e-01	5.900e-01	8.000e-01	5.800e-01	8.100e-01	5.800e-01	8.000e-01	5.100e-01	7.700e-01	5.100e-01	8.000e-01	4.500e-01	7.700e-01	4.500e-01	7.700e-01	3.500e-01	7.000e-01	3.500e-01	7.100e-01
4	7	8.500e-01	8.500e-01	9.100e-01	9.400e-01	7.900e-01	7.900e-01	8.200e-01	9.100e-01	7.500e-01	7.500e-01	8.200e-01	8.700e-01	6.900e-01	6.900e-01	7.500e-01	8.600e-01	6.900e-01	6.900e-01	7.500e-01	8.600e-01	6.800e-01	6.800e-01	7.500e-01	8.500e-01	6.100e-01	7.900e-01	6.100e-01	7.900e-01	5.000e-01	8.100e-01	5.000e-01	7.600e-01	3.500e-01	7.500e-01	3.500e-01	7.100e-01
4	8	8.600e-01	8.600e-01	9.000e-01	8.600e-01	8.000e-01	8.300e-01	8.400e-01	8.000e-01	7.300e-01	8.300e-01	8.000e-01	7.300e-01	6.600e-01	8.100e-01	7.900e-01	6.600e-01	6.600e-01	8.100e-01	7.900e-01	6.600e-01	6.300e-01	8.000e-01	7.800e-01	6.300e-01	6.300e-01	8.000e-01	7.800e-01	6.300e-01	5.900e-01	8.100e-01	7.400e-01	5.900e-01	3.700e-01	8.200e-01	3.700e-01	7.700e-01
4	9	8.900e-01	8.900e-01	9.000e-01	9.200e-01	8.400e-01	8.400e-01	8.400e-01	8.900e-01	7.900e-01	8.100e-01	7.900e-01	8.000e-01	7.500e-01	8.200e-01	8.100e-01	7.500e-01	7.100e-01	8.100e-01	7.800e-01	7.100e-01	6.500e-01	7.800e-01	7.900e-01	6.500e-01	6.400e-01	7.800e-01	7.900e-01	6.400e-01	6.000e-01	7.900e-01	8.000e-01	6.000e-01	4.500e-01	8.100e-01	4.500e-01	7.100e-01
4	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	11	9.200e-01	9.200e-01	9.200e-01	9.600e-01	8.000e-01	8.000e-01	8.900e-01	8.800e-01	7.200e-01	7.200e-01	8.700e-01	8.800e-01	6.800e-01	6.800e-01	8.700e-01	8.700e-01	6.400e-01	6.400e-01	8.300e-01	8.500e-01	6.300e-01	6.300e-01	8.400e-01	8.500e-01	5.300e-01	5.300e-01	7.700e-01	8.400e-01	4.200e-01	4.200e-01	7.800e-01	8.100e-01	3.400e-01	3.400e-01	7.800e-01	7.600e-01
4	12	7.500e-01	7.500e-01	8.700e-01	8.700e-01	7.500e-01	7.500e-01	8.700e-01	8.700e-01	7.300e-01	7.300e-01	8.600e-01	8.800e-01	7.000e-01	7.000e-01	8.400e-01	9.000e-01	6.700e-01	6.700e-01	7.900e-01	7.800e-01	6.000e-01	6.000e-01	7.800e-01	8.300e-01	5.500e-01	5.500e-01	8.000e-01	8.100e-01	4.400e-01	4.400e-01	7.700e-01	8.000e-01	3.200e-01	3.200e-01	7.500e-01	7.200e-01
4	13	9.000e-01	9.000e-01	9.000e-01	9.200e-01	8.200e-01	8.600e-01	8.500e-01	8.200e-01	7.500e-01	8.400e-01	8.600e-01	7.500e-01	7.200e-01	8.400e-01	8.600e-01	7.200e-01	6.900e-01	6.900e-01	8.400e-01	7.800e-01	5.500e-01	5.500e-01	8.400e-01	7.600e-01	5.500e-01	5.500e-01	8.400e-01	7.600e-01	4.200e-01	4.200e-01	7.600e-01	7.800e-01	3.500e-01	3.500e-01	7.300e-01	7.900e-01
4	14	8.800e-01	8.900e-01	8.800e-01	8.800e-01	7.800e-01	8.400e-01	9.100e-01	7.800e-01	7.500e-01	7.500e-01	8.800e-01	7.800e-01	6.900e-01	6.900e-01	8.100e-01	7.900e-01	6.500e-01	6.500e-01	8.100e-01	8.100e-01	6.300e-01	6.300e-01	8.000e-01	8.100e-01	6.200e-01	6.200e-01	8.000e-01	8.000e-01	4.500e-01	4.500e-01	8.100e-01	7.900e-01	3.700e-01	3.700e-01	7.600e-01	7.700e-01
4	15	8.600e-01	8.600e-01	9.100e-01	8.700e-01	8.500e-01	8.800e-01	8.800e-01	8.500e-01	7.500e-01	7.500e-01	8.400e-01	8.800e-01	7.000e-01	7.900e-01	7.000e-01	8.700e-01	6.900e-01	7.900e-01	6.900e-01	8.600e-01	6.900e-01	7.900e-01	6.900e-01	8.600e-01	6.400e-01	8.700e-01	6.400e-01	8.900e-01	5.800e-01	8.600e-01	5.800e-01	8.600e-01	4.800e-01	8.300e-01	4.800e-01	8.000e-01
4	16	8.300e-01	8.300e-01	8.700e-01	9.100e-01	7.900e-01	7.900e-01	8.400e-01	9.000e-01	7.200e-01	7.200e-01	7.900e-01	9.100e-01	7.200e-01	7.200e-01	7.900e-01	9.100e-01	7.100e-01	7.100e-01	7.900e-01	9.100e-01	6.800e-01	6.800e-01	8.100e-01	8.700e-01	6.000e-01	6.000e-01	8.100e-01	8.200e-01	5.500e-01	5.500e-01	8.000e-01	8.300e-01	4.700e-01	4.700e-01	7.900e-01	7.800e-01
4	17	9.300e-01	9.600e-01	9.500e-01	9.300e-01	8.000e-01	8.700e-01	9.000e-01	8.000e-01	7.500e-01	8.500e-01	8.800e-01	7.500e-01	7.400e-01	8.500e-01	8.800e-01	7.400e-01	7.400e-01	8.500e-01	8.800e-01	7.400e-01	6.900e-01	7.800e-01	8.200e-01	6.900e-01	6.000e-01	8.600e-01	7.500e-01	6.000e-01	6.000e-01	8.600e-01	7.500e-01	6.000e-01	5.200e-01	8.200e-01	7.200e-01	5.200e-01
4	18	8.400e-01	8.800e-01	8.400e-01	9.100e-01	7.800e-01	8.800e-01	7.800e-01	8.500e-01	7.600e-01	8.800e-01	7.600e-01	8.200e-01	7.600e-01	8.800e-01	7.600e-01	8.200e-01	7.000e-01	8.900e-01	7.900e-01	7.000e-01	6.600e-01	8.600e-01	7.900e-01	6.600e-01	6.100e-01	8.300e-01	7.500e-01	6.100e-01	5.800e-01	8.300e-01	7.400e-01	5.800e-01	5.000e-01	8.400e-01	7.600e-01	5.000e-01
4	19	8.900e-01	9.500e-01	9.300e-01	8.900e-01	7.900e-01	8.500e-01	8.000e-01	7.900e-01	7.900e-01	8.500e-01	8.000e-01	7.900e-01	7.500e-01	8.300e-01	8.400e-01	7.500e-01	6.900e-01	8.500e-01	7.600e-01	6.900e-01	6.200e-01	8.300e-01	7.700e-01	6.200e-01	6.000e-01	8.500e-01	7.600e-01	6.000e-01	5.200e-01	8.100e-01	6.900e-01	5.200e-01	4.400e-01	8.200e-01	7.200e-01	4.400e-01
4	20	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	9.100e-01	9.300e-01	9.400e-01	9.100e-01	8.100e-01	8.600e-01	8.100e-01	9.000e-01	8.100e-01	8.600e-01	8.100e-01	9.000e-01	7.600e-01	8.500e-01	7.600e-01	8.400e-01	7.300e-01	8.400e-01	7.300e-01	8.600e-01	6.600e-01	8.500e-01	6.600e-01	8.200e-01	6.100e-01	8.300e-01	6.100e-01	7.700e-01	5.500e-01	8.200e-01	5.500e-01	7.600e-01	4.400e-01	7.800e-01	4.400e-01	8.100e-01
5	2	8.900e-01	8.900e-01	9.100e-01	9.400e-01	8.700e-01	8.700e-01	9.000e-01	8.800e-01	8.000e-01	8.800e-01	8.000e-01	8.500e-01	7.900e-01	8.900e-01	7.900e-01	8.400e-01	7.700e-01	8.900e-01	7.700e-01	8.900e-01	6.800e-01	8.600e-01	6.800e-01	8.400e-01	6.300e-01	8.300e-01	6.300e-01	8.000e-01	5.200e-01	7.800e-01	5.200e-01	7.700e-01	4.200e-01	6.900e-01	4.200e-01	7.400e-01
